LinkNum, Agent, OriginNum, OriginName, DestinationNum, DestinationName
1, 1, 3, Juegos Aquaticos Azul Real, 0, Mural Fauna Marina 1
2, 1, 3, Juegos Aquaticos Azul Real, 1, Mural princesa del mar
3, 1, 3, Juegos Aquaticos Azul Real, 2, Juegos infantiles del Sol
4, 1, 2, Juegos infantiles del Sol, 0, Mural Fauna Marina 1
5, 1, 2, Juegos infantiles del Sol, 1, Mural princesa del mar
