KeysNeeded, KeysHave, KeysRemaining, PortalNum, PortalName
2, 0, 2, 0, Grafiti Cultural Atacames
1, 0, 1, 1, La Bota Del Marqués
2, 0, 2, 2, Mural Playa Hermosa
0, 0, 0, 3, Juegos Aquaticos Azul Real
